scrape_ts,source,origin,destination,depart_date,airline,depart_time,arrival_time,price,currency,raw_url,run_id,scrape_date,days_to_flight,depart_weekday,depart_weekday_name,is_weekend,day_of_month,depart_hour,time_of_day,is_bayram,days_to_bayram,bayram_period,route
2026-04-30 14:41:31.457361+03:00,enuygun,ADB,IST,2026-05-01,AJet,21:45,22:55,1639.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,21,Akşam,0,26,Normal,ADB_IST
2026-04-30 14:41:31.460337+03:00,enuygun,ADB,IST,2026-05-01,Pegasus,23:25,00:35,1676.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,23,Gece,0,26,Normal,ADB_IST
2026-04-30 14:41:31.463748+03:00,enuygun,ADB,IST,2026-05-01,Pegasus,21:35,22:45,1689.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,21,Akşam,0,26,Normal,ADB_IST
2026-04-30 14:41:31.467155+03:00,enuygun,ADB,IST,2026-05-01,AJet,19:00,20:10,1740.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,19,Akşam,0,26,Normal,ADB_IST
2026-04-30 14:41:31.469908+03:00,enuygun,ADB,IST,2026-05-01,Pegasus,20:25,21:35,2009.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,20,Akşam,0,26,Normal,ADB_IST
2026-04-30 14:41:31.473173+03:00,enuygun,ADB,IST,2026-05-01,Pegasus,04:30,05:40,2085.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,4,Gece,0,26,Normal,ADB_IST
2026-04-30 14:41:31.476416+03:00,enuygun,ADB,IST,2026-05-01,Pegasus,07:55,09:05,2393.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,7,Sabah,0,26,Normal,ADB_IST
2026-04-30 14:41:31.479434+03:00,enuygun,ADB,IST,2026-05-01,Pegasus,19:45,20:55,2393.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,19,Akşam,0,26,Normal,ADB_IST
2026-04-30 14:41:31.482278+03:00,enuygun,ADB,IST,2026-05-01,AJet,01:15,02:25,2486.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,1,Gece,0,26,Normal,ADB_IST
2026-04-30 14:41:31.485434+03:00,enuygun,ADB,IST,2026-05-01,THY,22:55,00:10,2490.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,22,Gece,0,26,Normal,ADB_IST
2026-04-30 14:41:31.487811+03:00,enuygun,ADB,IST,2026-05-01,THY,21:45,23:05,2490.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,21,Akşam,0,26,Normal,ADB_IST
2026-04-30 14:41:31.490559+03:00,enuygun,ADB,IST,2026-05-01,Pegasus,09:20,10:30,2587.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,9,Sabah,0,26,Normal,ADB_IST
2026-04-30 14:41:31.493772+03:00,enuygun,ADB,IST,2026-05-01,Pegasus,06:30,07:40,2606.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,6,Sabah,0,26,Normal,ADB_IST
2026-04-30 14:41:31.496372+03:00,enuygun,ADB,IST,2026-05-01,Pegasus,16:45,17:55,2608.0,TRY,https://www.enuygun.com/ucak-bileti/arama/izmir-adnan-menderes-havalimani-istanbul-adb-ista/?gidis=01.05.2026&yetiskin=1&sinif=ekonomi&currency=TRY&save=1&ref=homepage&geotrip=domestic&trip=domestic,20260430_144131,2026-04-30,1,4,Friday,0,1,16,Öğle,0,26,Normal,ADB_IST
