min_price,days_to_flight,depart_weekday,is_weekend,day_of_month,week_of_month,is_bayram,days_to_bayram,bayram_proximity,flight_count,airline_count,route_global_avg,route_global_std,temp_max,temp_min,precipitation,wind_speed,is_bad_weather,route_ADB_IST,route_AYT_IST,route_ESB_SAW,route_IST_ADB,route_IST_AYT,route_SAW_ESB,bayram_period_Bayram,bayram_period_Bayram Oncesi,bayram_period_Bayram Sonrasi,bayram_period_Normal,weather_condition_Acik,weather_condition_Ciseleme,weather_condition_Firtinali,weather_condition_Karli,weather_condition_Yagmurlu
1639.0,1,4,0,1,1,0,26,0.0243728440732796,36,3,1936.08,588.2293117851602,11.4,8.6,15.2,21.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1639.0,2,5,1,2,1,0,25,0.028115659748972035,36,3,1936.08,588.2293117851602,12.8,7.0,0.4,22.3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1689.0,3,6,1,3,1,0,24,0.032433240894795524,35,3,1936.08,588.2293117851602,11.6,7.7,6.9,31.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1509.0,4,0,0,4,1,0,23,0.03741385136723659,36,3,1936.08,588.2293117851602,14.6,10.1,1.0,24.6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1478.0,5,1,0,5,1,0,22,0.0431593092614526,34,3,1936.08,588.2293117851602,15.6,10.2,0.1,14.5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1478.0,6,2,0,6,1,0,21,0.049787068367863944,32,3,1936.08,588.2293117851602,19.5,6.9,0.0,9.9,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1478.0,7,3,0,7,1,0,20,0.05743261926761735,37,3,1936.08,588.2293117851602,23.8,8.1,0.0,11.5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1478.0,8,4,0,8,2,0,19,0.06625225915226167,36,3,1936.08,588.2293117851602,25.9,12.9,0.3,14.4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1478.0,9,5,1,9,2,0,18,0.07642628699076807,36,3,1936.08,588.2293117851602,24.9,15.7,2.9,13.4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1478.0,10,6,1,10,2,0,17,0.08816268936235745,37,3,1936.08,588.2293117851602,24.8,15.2,0.2,12.7,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
